Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,447 Flemington Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.788486,144.940412,"447 Flemington Road
(-37.788486, 144.940412)"
 ,47 Bateman Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795656,144.917937,"47 Bateman Road
(-37.795656, 144.917937)"
 ,51 Cakebread Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793299,144.918987,"51 Cakebread Mews
(-37.793299, 144.918987)"
 ,10-12 Francis Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793415,144.918979,"10-12 Francis Lane
(-37.793415, 144.918979)"
 ,20 Greenham Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791766,144.920671,"20 Greenham Place
(-37.791766, 144.920671)"
 ,12 Musgrove Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.791824,144.920424,"12 Musgrove Mews
(-37.791824, 144.920424)"
 ,12-14 Halford Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791385,144.920568,"12-14 Halford Lane
(-37.791385, 144.920568)"
 ,56-58 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794719,144.924516,"56-58 The Ridgeway
(-37.794719, 144.924516)"
 ,64 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794872,144.924246,"64 The Ridgeway
(-37.794872, 144.924246)"
 ,63 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795168,144.924669,"63 The Ridgeway
(-37.795168, 144.924669)"
 ,49 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794938,144.925074,"49 The Ridgeway
(-37.794938, 144.925074)"
 ,206 Boundary Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1910,0,-37.788757,144.940342,"206 Boundary Road
(-37.788757, 144.940342)"
 ,18-42 Racecourse Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.788985,144.940491,"18-42 Racecourse Road
(-37.788985, 144.940491)"
 ,26 Cakebread Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793177,144.918759,"26 Cakebread Mews
(-37.793177, 144.918759)"
 ,35-39 McNamara Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795644,144.918959,"35-39 McNamara Mews
(-37.795644, 144.918959)"
 ,68-70 Howlett Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.790692,144.921097,"68-70 Howlett Street
(-37.790692, 144.921097)"
 ,8 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79313,144.92566,"8 Bangalore Street
(-37.79313, 144.92566)"
 ,93-97 Eastwood Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,1970,0,-37.79206,144.930706,"93-97 Eastwood Street
(-37.79206, 144.930706)"
 ,107 Eastwood Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1935,0,-37.792366,144.930748,"107 Eastwood Street
(-37.792366, 144.930748)"
 ,123 Eastwood Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.792885,144.930831,"123 Eastwood Street
(-37.792885, 144.930831)"
 ,92 Rankins Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.791908,144.931115,"92 Rankins Road
(-37.791908, 144.931115)"
 ,27 Tankard Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79625,144.920363,"27 Tankard Street
(-37.79625, 144.920363)"
 ,93 Gatehouse Drive,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793511,144.91958,"93 Gatehouse Drive
(-37.793511, 144.91958)"
 ,54 McAllister Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793465,144.919721,"54 McAllister Mews
(-37.793465, 144.919721)"
 ,22-24 Sambell Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795726,144.922046,"22-24 Sambell Street
(-37.795726, 144.922046)"
 ,61-63 Newton Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795628,144.92282,"61-63 Newton Street
(-37.795628, 144.92282)"
 ,8 Sims Square,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.790691,144.921815,"8 Sims Square
(-37.790691, 144.921815)"
 ,33-35 Howlett Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.790568,144.922055,"33-35 Howlett Street
(-37.790568, 144.922055)"
 ,14 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793225,144.925498,"14 Bangalore Street
(-37.793225, 144.925498)"
Rose Cottage,20 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793324,144.925328,"20 Bangalore Street
(-37.793324, 144.925328)"
 ,48 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793883,144.92438,"48 Bangalore Street
(-37.793883, 144.92438)"
 ,52 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793972,144.924196,"52 Bangalore Street
(-37.793972, 144.924196)"
 ,58 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794115,144.923946,"58 Bangalore Street
(-37.794115, 144.923946)"
 ,61 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794612,144.924002,"61 Bangalore Street
(-37.794612, 144.924002)"
 ,9 Scarborough Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2001,0,-37.791391,144.934659,"9 Scarborough Place
(-37.791391, 144.934659)"
 ,11 Scarborough Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2001,0,-37.791397,144.934716,"11 Scarborough Place
(-37.791397, 144.934716)"
 ,72 Stubbs Street,KENSINGTON,3031,Steps,All entrances have steps,1,0,1975,0,-37.791422,144.935302,"72 Stubbs Street
(-37.791422, 144.935302)"
 ,73 Lambeth Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1994,0,-37.79133,144.934352,"73 Lambeth Street
(-37.79133, 144.934352)"
 ,13 McConnell Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.790417,144.928801,"13 McConnell Street
(-37.790417, 144.928801)"
 ,65-67 Newton Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795586,144.922936,"65-67 Newton Street
(-37.795586, 144.922936)"
 ,14 Altona Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798875,144.927585,"14 Altona Street
(-37.798875, 144.927585)"
 ,97 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798644,144.927499,"97 Ormond Street
(-37.798644, 144.927499)"
 ,93 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79864,144.927687,"93 Ormond Street
(-37.79864, 144.927687)"
 ,85-87 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798532,144.927866,"85-87 Ormond Street
(-37.798532, 144.927866)"
 ,81 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798449,144.928009,"81 Ormond Street
(-37.798449, 144.928009)"
 ,26 Watkins Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791423,144.921379,"26 Watkins Way
(-37.791423, 144.921379)"
 ,16-22 Gatehouse Drive,KENSINGTON,3031,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1998,0,-37.792,144.91933,"16-22 Gatehouse Drive
(-37.792, 144.91933)"
 ,35-37 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.791681,144.922097,"35-37 Stockmans Way
(-37.791681, 144.922097)"
 ,15-17 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2001,0,-37.791404,144.922576,"15-17 Stockmans Way
(-37.791404, 144.922576)"
 ,1-9 Darcy Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.790887,144.923437,"1-9 Darcy Lane
(-37.790887, 144.923437)"
 ,4 Raglan Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.804326,144.950477,"4 Raglan Street
(-37.804326, 144.950477)"
 ,19 McCracken Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.790518,144.928049,"19 McCracken Street
(-37.790518, 144.928049)"
 ,4 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796416,144.930402,"4 Ormond Street
(-37.796416, 144.930402)"
 ,22 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79667,144.929966,"22 Ormond Street
(-37.79667, 144.929966)"
 ,26 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796725,144.929873,"26 Ormond Street
(-37.796725, 144.929873)"
 ,28 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796753,144.929825,"28 Ormond Street
(-37.796753, 144.929825)"
 ,106-116 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79352,144.920928,"106-116 Westbourne Road
(-37.79352, 144.920928)"
 ,27 Crichton Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792715,144.921772,"27 Crichton Lane
(-37.792715, 144.921772)"
 ,23-25 Leveson Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.804351,144.950691,"23-25 Leveson Street
(-37.804351, 144.950691)"
 ,40 Byron Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.801688,144.950956,"40 Byron Street
(-37.801688, 144.950956)"
 ,36 Byron Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.801727,144.951137,"36 Byron Street
(-37.801727, 144.951137)"
 ,6 Loughmore Lane,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.801564,144.951003,"6 Loughmore Lane
(-37.801564, 144.951003)"
 ,119 Leveson Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.801453,144.951173,"119 Leveson Street
(-37.801453, 144.951173)"
 ,93 Arden Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,0,0,0,-37.800953,144.947477,"93 Arden Street
(-37.800953, 144.947477)"
 ,114 McConnell Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.793776,144.928739,"114 McConnell Street
(-37.793776, 144.928739)"
 ,11 Wight Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.79376,144.928502,"11 Wight Street
(-37.79376, 144.928502)"
 ,19 Wight Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.793742,144.928214,"19 Wight Street
(-37.793742, 144.928214)"
 ,21-23 Wight Street,KENSINGTON,3031,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,0,0,0,-37.793728,144.928012,"21-23 Wight Street
(-37.793728, 144.928012)"
 ,31 McCracken Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.790918,144.928047,"31 McCracken Street
(-37.790918, 144.928047)"
 ,27-45 Whiteman Street,SOUTHBANK,3006,Ramp,Main Entrance has ramp,3,1,1997,0,-37.82646,144.958292,"27-45 Whiteman Street
(-37.82646, 144.958292)"
Rail Infrastructure,1 Adderley Street,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.813933,144.950573,"1 Adderley Street
(-37.813933, 144.950573)"
Collins Square Tower A,733-745 Collins Street,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,16,2012,0,-37.821447,144.949557,"733-745 Collins Street
(-37.821447, 144.949557)"
 ,30 Olympic Boulevard,MELBOURNE,3004,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.825761,144.981028,"30 Olympic Boulevard
(-37.825761, 144.981028)"
 ,457-497 Footscray Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.811669,144.931772,"457-497 Footscray Road
(-37.811669, 144.931772)"
 ,Dynon Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,2011,-37.800451,144.923135,"Dynon Road
(-37.800451, 144.923135)"
 ,186-328 Dynon Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,1,0,0,-37.800686,144.92679,"186-328 Dynon Road
(-37.800686, 144.92679)"
 ,229-0 City Road,SOUTHBANK,3006,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.826089,144.961117,"229-0 City Road
(-37.826089, 144.961117)"
The Hotel Windsor,103-137 Spring Street,MELBOURNE,3000,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,4,1883,1984,-37.811993,144.972924,"103-137 Spring Street
(-37.811993, 144.972924)"
 ,59-63 Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,3,1981,1990,-37.812125,144.971565,"59-63 Bourke Street
(-37.812125, 144.971565)"
 ,136-144 Exhibition Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,11,1979,1989,-37.812402,144.971107,"136-144 Exhibition Street
(-37.812402, 144.971107)"
 ,87-91 Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1971,1996,-37.812233,144.970902,"87-91 Bourke Street
(-37.812233, 144.970902)"
 ,79-85 Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1935,2006,-37.812179,144.97104,"79-85 Bourke Street
(-37.812179, 144.97104)"
 ,82-84 MacKenzie Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1970,0,-37.819255,144.907551,"82-84 MacKenzie Road
(-37.819255, 144.907551)"
 ,620-648 Little Bourke Street,MELBOURNE,3000,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1952,0,-37.815722,144.953577,"620-648 Little Bourke Street
(-37.815722, 144.953577)"
 ,221-223 King Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1945,1977,-37.815074,144.954824,"221-223 King Street
(-37.815074, 144.954824)"
 ,322-326 Lorimer Street,FISHERMANS BEND,3207,Step free,Main Entrance is at grade and has no steps or ramp,3,1,2007,0,-37.824132,144.908551,"322-326 Lorimer Street
(-37.824132, 144.908551)"
 ,328-330 Lorimer Street,FISHERMANS BEND,3207,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.823867,144.908815,"328-330 Lorimer Street
(-37.823867, 144.908815)"
 ,254 Collins Street,MELBOURNE,3000,Ramp,Main Entrance has ramp,3,1,1927,1999,-37.815509,144.965347,"254 Collins Street
(-37.815509, 144.965347)"
 ,37 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2004,0,-37.795192,144.926214,"37 Kensington Road
(-37.795192, 144.926214)"
 ,8 Stedeford Lane,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.80373,144.952007,"8 Stedeford Lane
(-37.80373, 144.952007)"
Serendipity,11 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793547,144.925856,"11 Bangalore Street
(-37.793547, 144.925856)"
 ,7-9 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793484,144.925969,"7-9 Bangalore Street
(-37.793484, 144.925969)"
 ,1 Bangalore Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793356,144.926191,"1 Bangalore Street
(-37.793356, 144.926191)"
Coolabah,21 Epsom Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793257,144.926476,"21 Epsom Road
(-37.793257, 144.926476)"
 ,17 Epsom Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79343,144.926641,"17 Epsom Road
(-37.79343, 144.926641)"
 ,12-14 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.792463,144.924842,"12-14 Bayswater Road
(-37.792463, 144.924842)"
 ,30-34 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.792884,144.924237,"30-34 Bayswater Road
(-37.792884, 144.924237)"
 ,62 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793386,144.92326,"62 Bayswater Road
(-37.793386, 144.92326)"
 ,76 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793752,144.922631,"76 Bayswater Road
(-37.793752, 144.922631)"
 ,90-92 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793952,144.922271,"90-92 Bayswater Road
(-37.793952, 144.922271)"
 ,81 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794507,144.922428,"81 Bayswater Road
(-37.794507, 144.922428)"
 ,75-77 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794352,144.922704,"75-77 Bayswater Road
(-37.794352, 144.922704)"
 ,59 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793997,144.92334,"59 Bayswater Road
(-37.793997, 144.92334)"
 ,39 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793563,144.924079,"39 Bayswater Road
(-37.793563, 144.924079)"
Lacrosse Docklands,673-683 La Trobe Street,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,20,2012,0,-37.814869,144.947536,"673-683 La Trobe Street
(-37.814869, 144.947536)"
Waikaia,35 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.792968,144.92304,"35 Westbourne Road
(-37.792968, 144.92304)"
 ,15 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792278,144.923995,"15 Westbourne Road
(-37.792278, 144.923995)"
 ,125 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799142,144.926816,"125 Ormond Street
(-37.799142, 144.926816)"
 ,5-7 Childers Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799439,144.927003,"5-7 Childers Street
(-37.799439, 144.927003)"
 ,21-23 Altona Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798905,144.926975,"21-23 Altona Street
(-37.798905, 144.926975)"
 ,15 Altona Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799102,144.927156,"15 Altona Street
(-37.799102, 144.927156)"
 ,53 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.797643,144.929125,"53 Ormond Street
(-37.797643, 144.929125)"
 ,408 Arden Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798575,144.931239,"408 Arden Street
(-37.798575, 144.931239)"
 ,33-35 Fairbairn Drive,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2000,0,-37.795872,144.919084,"33-35 Fairbairn Drive
(-37.795872, 144.919084)"
 ,18-22 Flockhart Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.794337,144.920834,"18-22 Flockhart Street
(-37.794337, 144.920834)"
 ,61 Willis Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.79355,144.918749,"61 Willis Street
(-37.79355, 144.918749)"
 ,20 Francis Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793421,144.91878,"20 Francis Lane
(-37.793421, 144.91878)"
 ,20 Gardner Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.792084,144.922164,"20 Gardner Lane
(-37.792084, 144.922164)"
 ,18 Gardner Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.792024,144.922214,"18 Gardner Lane
(-37.792024, 144.922214)"
 ,16 Gardner Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791999,144.922293,"16 Gardner Lane
(-37.791999, 144.922293)"
 ,14 Gardner Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.791966,144.922347,"14 Gardner Lane
(-37.791966, 144.922347)"
Melbourne Showgrounds,276-318 Epsom Road,FLEMINGTON,3032,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,1,0,0,-37.782319,144.911602,"276-318 Epsom Road
(-37.782319, 144.911602)"
Bede,64 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798462,144.928758,"64 Tennyson Street
(-37.798462, 144.928758)"
 ,82 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79874,144.928281,"82 Tennyson Street
(-37.79874, 144.928281)"
 ,88 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.798821,144.928141,"88 Tennyson Street
(-37.798821, 144.928141)"
 ,12 Albermarle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79616,144.933541,"12 Albermarle Street
(-37.79616, 144.933541)"
 ,18-20 Colonial Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.790587,144.922597,"18-20 Colonial Place
(-37.790587, 144.922597)"
 ,24-26 Newman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795707,144.919612,"24-26 Newman Street
(-37.795707, 144.919612)"
 ,35 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793487,144.924223,"35 Bayswater Road
(-37.793487, 144.924223)"
 ,5 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.792813,144.925219,"5 Bayswater Road
(-37.792813, 144.925219)"
 ,3 Bayswater Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.792778,144.925264,"3 Bayswater Road
(-37.792778, 144.925264)"
 ,25 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79532,144.932514,"25 Hardiman Street
(-37.79532, 144.932514)"
 ,23 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795379,144.93241,"23 Hardiman Street
(-37.795379, 144.93241)"
 ,453-455 Macaulay Road,KENSINGTON,3031,Steps,All entrances have steps,1,3,2011,0,-37.794886,144.93181,"453-455 Macaulay Road
(-37.794886, 144.93181)"
Four N Twenty Pie Site,14 McLennan Drive,KENSINGTON,3031,Step free,Main Entrance is at grade and has no steps or ramp,3,0,2007,0,-37.799567,144.930363,"14 McLennan Drive
(-37.799567, 144.930363)"
 ,201-205 Kensington Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,0,1960,0,-37.800881,144.916834,"201-205 Kensington Road
(-37.800881, 144.916834)"
 ,209-213 Kensington Road,WEST MELBOURNE,3003,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,0,1960,2011,-37.801151,144.916559,"209-213 Kensington Road
(-37.801151, 144.916559)"
Hobsons Lodge,71-89 Hobsons Road,KENSINGTON,3031,Steps,All entrances have steps,1,2,1960,0,-37.796161,144.916524,"71-89 Hobsons Road
(-37.796161, 144.916524)"
 ,176-178 Kensington Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1960,0,-37.799299,144.917319,"176-178 Kensington Road
(-37.799299, 144.917319)"
 ,86 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79211,144.92018,"86 Stockmans Way
(-37.79211, 144.92018)"
 ,89 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792477,144.920363,"89 Stockmans Way
(-37.792477, 144.920363)"
 ,85 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792498,144.920463,"85 Stockmans Way
(-37.792498, 144.920463)"
