Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,10 Bent Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796139,144.934931,"10 Bent Street
(-37.796139, 144.934931)"
 ,33 Chelmsford Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796333,144.933882,"33 Chelmsford Street
(-37.796333, 144.933882)"
 ,27-31 Chelmsford Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1950,0,-37.796321,144.933769,"27-31 Chelmsford Street
(-37.796321, 144.933769)"
 ,13 Chelmsford Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79616,144.932364,"13 Chelmsford Street
(-37.79616, 144.932364)"
 ,10 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79568,144.931906,"10 Hardiman Street
(-37.79568, 144.931906)"
 ,68 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796019,144.934228,"68 Hardiman Street
(-37.796019, 144.934228)"
 ,37 Hardiman Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795359,144.932865,"37 Hardiman Street
(-37.795359, 144.932865)"
 ,312 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797965,144.931277,"312 Bellair Street
(-37.797965, 144.931277)"
 ,314-316 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798053,144.931307,"314-316 Bellair Street
(-37.798053, 144.931307)"
 ,324 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1870,0,-37.79825,144.931374,"324 Bellair Street
(-37.79825, 144.931374)"
 ,344-348 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79873,144.931579,"344-348 Bellair Street
(-37.79873, 144.931579)"
 ,51 Derby Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797702,144.929154,"51 Derby Street
(-37.797702, 144.929154)"
 ,517-519 Macaulay Road,KENSINGTON,3031,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1900,0,-37.794489,144.928939,"517-519 Macaulay Road
(-37.794489, 144.928939)"
 ,511 Macaulay Road,KENSINGTON,3031,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,1,1890,0,-37.794523,144.929143,"511 Macaulay Road
(-37.794523, 144.929143)"
 ,505-507 Macaulay Road,KENSINGTON,3031,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,0,1998,0,-37.79454,144.929242,"505-507 Macaulay Road
(-37.79454, 144.929242)"
Inverness,44 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795576,144.927693,"44 Gower Street
(-37.795576, 144.927693)"
Beulah,46 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795628,144.927619,"46 Gower Street
(-37.795628, 144.927619)"
 ,54 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795837,144.927261,"54 Gower Street
(-37.795837, 144.927261)"
 ,23 Henry Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795028,144.928047,"23 Henry Street
(-37.795028, 144.928047)"
 ,17 Henry Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794918,144.928223,"17 Henry Street
(-37.794918, 144.928223)"
 ,545-555 Macaulay Road,KENSINGTON,3031,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1957,0,-37.794379,144.927771,"545-555 Macaulay Road
(-37.794379, 144.927771)"
 ,33A Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795056,144.926558,"33A Kensington Road
(-37.795056, 144.926558)"
 ,19 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794696,144.927173,"19 Kensington Road
(-37.794696, 144.927173)"
 ,17 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794657,144.927235,"17 Kensington Road
(-37.794657, 144.927235)"
 ,15 Derby Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796583,144.92811,"15 Derby Street
(-37.796583, 144.92811)"
 ,9 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797963,144.930474,"9 Tennyson Street
(-37.797963, 144.930474)"
Jeanor,272-274 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796882,144.930919,"272-274 Bellair Street
(-37.796882, 144.930919)"
 ,38-40 Tennyson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797773,144.929935,"38-40 Tennyson Street
(-37.797773, 144.929935)"
 ,35 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797411,144.929788,"35 Ormond Street
(-37.797411, 144.929788)"
 ,33 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797384,144.929835,"33 Ormond Street
(-37.797384, 144.929835)"
Avenel,27 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797282,144.930008,"27 Ormond Street
(-37.797282, 144.930008)"
 ,21 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797194,144.930158,"21 Ormond Street
(-37.797194, 144.930158)"
 ,5 Ormond Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796966,144.930547,"5 Ormond Street
(-37.796966, 144.930547)"
 ,7 Moylan Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794108,144.919959,"7 Moylan Lane
(-37.794108, 144.919959)"
 ,5 Moylan Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794153,144.919999,"5 Moylan Lane
(-37.794153, 144.919999)"
 ,17 Matthews Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794902,144.920887,"17 Matthews Mews
(-37.794902, 144.920887)"
 ,430 Arden Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798385,144.930311,"430 Arden Street
(-37.798385, 144.930311)"
Isiah,436 Arden Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798351,144.930146,"436 Arden Street
(-37.798351, 144.930146)"
 ,442-450 Arden Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79835,144.929784,"442-450 Arden Street
(-37.79835, 144.929784)"
 ,10 Southey Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798207,144.930483,"10 Southey Street
(-37.798207, 144.930483)"
 ,12-14 Southey Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798367,144.930542,"12-14 Southey Street
(-37.798367, 144.930542)"
 ,69 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794002,144.918408,"69 The Crescent
(-37.794002, 144.918408)"
 ,1 Halford Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791438,144.920999,"1 Halford Lane
(-37.791438, 144.920999)"
 ,7-11 Matthews Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794719,144.921028,"7-11 Matthews Mews
(-37.794719, 144.921028)"
 ,70-72 The Crescent,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.794908,144.919443,"70-72 The Crescent
(-37.794908, 144.919443)"
 ,4-6 Mercantile Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79529,144.919842,"4-6 Mercantile Parade
(-37.79529, 144.919842)"
 ,30-34 Mercantile Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795752,144.920194,"30-34 Mercantile Parade
(-37.795752, 144.920194)"
 ,9 Strettle Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792127,144.921269,"9 Strettle Street
(-37.792127, 144.921269)"
 ,98 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2002,0,-37.796318,144.923493,"98 Kensington Road
(-37.796318, 144.923493)"
 ,96 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2002,0,-37.796276,144.923566,"96 Kensington Road
(-37.796276, 144.923566)"
 ,25 Lincoln Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2002,0,-37.796277,144.923013,"25 Lincoln Mews
(-37.796277, 144.923013)"
 ,8 Bruce Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798518,144.933811,"8 Bruce Street
(-37.798518, 144.933811)"
 ,6 Bruce Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798513,144.933753,"6 Bruce Street
(-37.798513, 144.933753)"
 ,13 Derby Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79654,144.928071,"13 Derby Street
(-37.79654, 144.928071)"
Hughendon Terrace,45-59 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79565,144.928418,"45-59 Gower Street
(-37.79565, 144.928418)"
 ,29 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795194,144.929232,"29 Gower Street
(-37.795194, 144.929232)"
 ,19 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1880,0,-37.79508,144.929689,"19 Gower Street
(-37.79508, 144.929689)"
 ,15 Gower Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2003,0,-37.794951,144.929913,"15 Gower Street
(-37.794951, 144.929913)"
 ,228 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795297,144.930362,"228 Bellair Street
(-37.795297, 144.930362)"
 ,481 Macaulay Road,KENSINGTON,3031,Steps,All entrances have steps,1,0,1900,1996,-37.794689,144.930226,"481 Macaulay Road
(-37.794689, 144.930226)"
 ,167-169 Eastwood Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.7962,144.931866,"167-169 Eastwood Street
(-37.7962, 144.931866)"
 ,356-378 Arden Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1980,0,-37.798896,144.933889,"356-378 Arden Street
(-37.798896, 144.933889)"
 ,14-26 Bruce Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.798557,144.93415,"14-26 Bruce Street
(-37.798557, 144.93415)"
 ,6 Fink Street,KENSINGTON,3031,Steps,All entrances have steps,1,1,1970,0,-37.797641,144.933507,"6 Fink Street
(-37.797641, 144.933507)"
 ,18 Enterprize Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.813817,144.928133,"18 Enterprize Road
(-37.813817, 144.928133)"
Etihad Stadium,122-148 Harbour Esplanade,DOCKLANDS,3008,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,4,2002,0,-37.816566,144.947577,"122-148 Harbour Esplanade
(-37.816566, 144.947577)"
 ,6-8 Garden Avenue,EAST MELBOURNE,3002,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.816389,144.989026,"6-8 Garden Avenue
(-37.816389, 144.989026)"
Wildlife Sanctuary,397-435 Dynon Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.802644,144.913034,"397-435 Dynon Road
(-37.802644, 144.913034)"
 ,717 Footscray Road,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.8091,144.907085,"717 Footscray Road
(-37.8091, 144.907085)"
 ,443-451 Docklands Drive,DOCKLANDS,3008,Step free,Main Entrance is at grade and has no steps or ramp,3,0,0,0,-37.815335,144.938176,"443-451 Docklands Drive
(-37.815335, 144.938176)"
Equitable House,335-349 Little Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,13,1925,2002,-37.815549,144.963293,"335-349 Little Collins Street
(-37.815549, 144.963293)"
 ,457-471 Bourke Street,MELBOURNE,3000,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,19,1969,2001,-37.815472,144.960188,"457-471 Bourke Street
(-37.815472, 144.960188)"
 ,422-428 Little Collins Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,8,1986,2006,-37.815907,144.960326,"422-428 Little Collins Street
(-37.815907, 144.960326)"
Charter House,4-10 Bank Place,MELBOURNE,3000,Steps,All entrances have steps,1,7,1907,2001,-37.81669,144.960642,"4-10 Bank Place
(-37.81669, 144.960642)"
 ,421-423 Little Collins Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1929,1999,-37.816228,144.960637,"421-423 Little Collins Street
(-37.816228, 144.960637)"
 ,85-91 Queen Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,9,1973,2002,-37.816497,144.961021,"85-91 Queen Street
(-37.816497, 144.961021)"
95 Queen Street,93-95 Queen Street,MELBOURNE,3000,Steps,All entrances have steps,1,6,1939,1991,-37.816378,144.960969,"93-95 Queen Street
(-37.816378, 144.960969)"
Rochelle House,415-419 Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,5,1930,1995,-37.814928,144.961748,"415-419 Bourke Street
(-37.814928, 144.961748)"
 ,3 Fisken Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795353,144.924214,"3 Fisken Place
(-37.795353, 144.924214)"
 ,5 Fisken Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795404,144.92426,"5 Fisken Place
(-37.795404, 144.92426)"
 ,220 Lorimer Street,FISHERMANS BEND,3207,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.829384,144.901675,"220 Lorimer Street
(-37.829384, 144.901675)"
 ,33 O'Shanassy Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.800458,144.949535,"33 O'Shanassy Street
(-37.800458, 144.949535)"
 ,29-79 MacKenzie Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,1,1970,0,-37.813901,144.910149,"29-79 MacKenzie Road
(-37.813901, 144.910149)"
